2026-04-28 18:29:55.8288 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.TryParseModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider 
2026-04-28 18:29:55.9197 | DEBUG | Microsoft.Extensions.Hosting.Internal.Host | Hosting starting 
2026-04-28 18:29:55.9437 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BlazorWasmHotReloadMiddleware | Middleware loaded 
2026-04-28 18:29:55.9437 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware | Middleware loaded. Script /_framework/aspnetcore-browser-refresh.js (14917 B). 
2026-04-28 18:29:55.9437 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware | Middleware loaded. Script /_framework/blazor-hotreload.js (799 B). 
2026-04-28 18:29:56.0695 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Middleware configuration started with options: {AllowedHosts = *, AllowEmptyHosts = True, IncludeFailureMessage = True} 
2026-04-28 18:29:56.0695 | DEBUG | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | Wildcard detected, all requests with hosts will be allowed. 
2026-04-28 18:29:56.0760 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware | Middleware loaded: DOTNET_MODIFIABLE_ASSEMBLIES=debug, __ASPNETCORE_BROWSER_TOOLS=true 
2026-04-28 18:29:56.1294 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5062 
2026-04-28 18:29:56.1294 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly APILab 
2026-04-28 18:29:56.1294 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh 
